model_key,model_label,model_kind,optimizer_step,sort_order,adapter,inference_steps,guidance,scheduler,timestep_spacing,prompt_index,prompt,content_prompt,seed,image_path,elapsed_seconds,peak_vram_gb,clip_full_cosine,clip_content_cosine,clip_teacher_image_cosine,pixel_mae,pixel_psnr_db,clip_reference_image_cosine,pixel_reference_mae,pixel_reference_psnr_db
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,0,"Chinese ink wash painting style, Sumi-e, a close-up branch of bright yellow blossoms with dark gray leaves, selective golden color, bold flowing brushstrokes, plain rice-paper background","a close-up branch of bright yellow blossoms with dark gray leaves, selective golden color, bold flowing brushstrokes, plain rice-paper background",42,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt00_seed42.png,2.7063579999958165,1.9231362342834473,0.353271484375,0.314453125,0.9878393411636353,0.03553347662091255,25.060439896596858,0.9997963309288025,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,0,"Chinese ink wash painting style, Sumi-e, a close-up branch of bright yellow blossoms with dark gray leaves, selective golden color, bold flowing brushstrokes, plain rice-paper background","a close-up branch of bright yellow blossoms with dark gray leaves, selective golden color, bold flowing brushstrokes, plain rice-paper background",123,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt00_seed123.png,2.6769982000114396,1.9231362342834473,0.359619140625,0.339599609375,0.9659779071807861,0.06313422322273254,21.184172351516214,0.9997730255126953,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,0,"Chinese ink wash painting style, Sumi-e, a close-up branch of bright yellow blossoms with dark gray leaves, selective golden color, bold flowing brushstrokes, plain rice-paper background","a close-up branch of bright yellow blossoms with dark gray leaves, selective golden color, bold flowing brushstrokes, plain rice-paper background",2026,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt00_seed2026.png,2.684737200033851,1.9231362342834473,0.3662109375,0.327880859375,0.9482558965682983,0.04816272482275963,21.768380735444495,0.9992784261703491,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,1,"Chinese ink wash painting style, Sumi-e, exactly one black cat shown in full-body side view, centered composition, bold flowing black brushstrokes, small amber eyes, plain rice-paper background","exactly one black cat shown in full-body side view, centered composition, bold flowing black brushstrokes, small amber eyes, plain rice-paper background",42,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt01_seed42.png,2.67291749996366,1.9231362342834473,0.344970703125,0.332763671875,0.8708915710449219,0.07295028120279312,18.17740985742737,1.0004475116729736,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,1,"Chinese ink wash painting style, Sumi-e, exactly one black cat shown in full-body side view, centered composition, bold flowing black brushstrokes, small amber eyes, plain rice-paper background","exactly one black cat shown in full-body side view, centered composition, bold flowing black brushstrokes, small amber eyes, plain rice-paper background",123,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt01_seed123.png,2.677742500032764,1.9231362342834473,0.36865234375,0.35546875,0.9271453619003296,0.036302197724580765,21.453304589857446,0.9999716281890869,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,1,"Chinese ink wash painting style, Sumi-e, exactly one black cat shown in full-body side view, centered composition, bold flowing black brushstrokes, small amber eyes, plain rice-paper background","exactly one black cat shown in full-body side view, centered composition, bold flowing black brushstrokes, small amber eyes, plain rice-paper background",2026,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt01_seed2026.png,2.716234399995301,1.9231362342834473,0.34228515625,0.345458984375,0.9708976745605469,0.033575788140296936,23.189119613656146,0.9998559951782227,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,2,"Chinese ink wash painting style, Sumi-e, exactly one small songbird perched on a simple branch, complete body clearly visible, gray ink brushwork with warm brown accents, plain background","exactly one small songbird perched on a simple branch, complete body clearly visible, gray ink brushwork with warm brown accents, plain background",42,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt02_seed42.png,2.7143054000334814,1.9231362342834473,0.36376953125,0.35400390625,0.9509287476539612,0.025187671184539795,29.60644310019997,1.0006768703460693,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,2,"Chinese ink wash painting style, Sumi-e, exactly one small songbird perched on a simple branch, complete body clearly visible, gray ink brushwork with warm brown accents, plain background","exactly one small songbird perched on a simple branch, complete body clearly visible, gray ink brushwork with warm brown accents, plain background",123,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt02_seed123.png,2.7009800999658182,1.9231362342834473,0.35205078125,0.3134765625,0.9108631610870361,0.03803876042366028,24.4951232068615,1.000592589378357,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,2,"Chinese ink wash painting style, Sumi-e, exactly one small songbird perched on a simple branch, complete body clearly visible, gray ink brushwork with warm brown accents, plain background","exactly one small songbird perched on a simple branch, complete body clearly visible, gray ink brushwork with warm brown accents, plain background",2026,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt02_seed2026.png,2.6915401999722235,1.9231362342834473,0.3447265625,0.361328125,0.9632135033607483,0.02427704632282257,23.662649916579657,1.00017511844635,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,3,"Chinese ink wash painting style, Sumi-e, a close-up head-and-shoulders portrait of exactly one contemporary young woman, clearly defined eyes and facial features, black ink brushwork, selective vermilion scarf, plain background","a close-up head-and-shoulders portrait of exactly one contemporary young woman, clearly defined eyes and facial features, black ink brushwork, selective vermilion scarf, plain background",42,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt03_seed42.png,2.6978935999795794,1.9231362342834473,0.3330078125,0.33056640625,0.9431173801422119,0.053385019302368164,22.869340219813825,0.9995752573013306,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,3,"Chinese ink wash painting style, Sumi-e, a close-up head-and-shoulders portrait of exactly one contemporary young woman, clearly defined eyes and facial features, black ink brushwork, selective vermilion scarf, plain background","a close-up head-and-shoulders portrait of exactly one contemporary young woman, clearly defined eyes and facial features, black ink brushwork, selective vermilion scarf, plain background",123,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt03_seed123.png,2.7023381000035442,1.9231362342834473,0.253662109375,0.25244140625,0.951866865158081,0.041678816080093384,21.19974790863869,1.0001614093780518,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,3,"Chinese ink wash painting style, Sumi-e, a close-up head-and-shoulders portrait of exactly one contemporary young woman, clearly defined eyes and facial features, black ink brushwork, selective vermilion scarf, plain background","a close-up head-and-shoulders portrait of exactly one contemporary young woman, clearly defined eyes and facial features, black ink brushwork, selective vermilion scarf, plain background",2026,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt03_seed2026.png,2.6740199999767356,1.9231362342834473,0.352783203125,0.29150390625,0.9212568998336792,0.05135751888155937,21.11748816966895,1.0008914470672607,0.0,inf
reference,Reference 20-step,reference,0,-2,D:\AI\pixart_local_generation\models\lora_training_512\style_teacher_r16_lr1e-5_bs1_steps10000_seed42\checkpoints\step_004000,20,2.0,DDIMScheduler,trailing,4,"Chinese ink wash painting style, Sumi-e, a close-up head-and-shoulders portrait of exactly one elderly man wearing modern glasses, clearly defined face, expressive gray and black brushwork, plain background","a close-up head-and-shoulders portrait of exactly one elderly man wearing modern glasses, clearly defined face, expressive gray and black brushwork, plain background",42,D:\AI\pixart_local_generation\outputs\distillation\student_10to5_teacher_step12000\evaluation_8prompts_3seeds\images\reference\prompt04_seed42.png,2.687893000023905,1.9231362342834473,0.36279296875,0.307373046875,0.9144133925437927,0.09753083437681198,16.820721040548257,0.9993070960044861,0.0,inf
